date,Depression
2019-01-01,93
2019-02-01,99
2019-03-01,94
2019-04-01,89
2019-05-01,87
2019-06-01,80
2019-07-01,76
2019-08-01,77
2019-09-01,90
2019-10-01,95
2019-11-01,93
2019-12-01,83
2020-01-01,88
2020-02-01,99
2020-03-01,92
2020-04-01,100
2020-05-01,89
2020-06-01,95
2020-07-01,82
2020-08-01,83
2020-09-01,87
2020-10-01,86
2020-11-01,83
2020-12-01,78
2021-01-01,80
2021-02-01,81
2021-03-01,82
2021-04-01,77
2021-05-01,78
2021-06-01,73
2021-07-01,69
2021-08-01,70
2021-09-01,75
2021-10-01,78
2021-11-01,79
2021-12-01,72
2022-01-01,79
2022-02-01,90
2022-03-01,92
2022-04-01,90
2022-05-01,87
2022-06-01,74
2022-07-01,72
2022-08-01,73
2022-09-01,75
2022-10-01,78
2022-11-01,78
2022-12-01,73
2023-01-01,83
2023-02-01,87
2023-03-01,83
2023-04-01,77
2023-05-01,72
2023-06-01,69
2023-07-01,63
2023-08-01,66
2023-09-01,66
2023-10-01,68
2023-11-01,74
2023-12-01,70
2024-01-01,73
2024-02-01,79
2024-03-01,74
2024-04-01,78
2024-05-01,76
2024-06-01,59
2024-07-01,58
2024-08-01,61
2024-09-01,65
2024-10-01,71
2024-11-01,69
2024-12-01,65
