date,Stress
2019-01-01,77
2019-02-01,82
2019-03-01,85
2019-04-01,80
2019-05-01,82
2019-06-01,73
2019-07-01,74
2019-08-01,76
2019-09-01,83
2019-10-01,87
2019-11-01,84
2019-12-01,75
2020-01-01,76
2020-02-01,80
2020-03-01,79
2020-04-01,81
2020-05-01,76
2020-06-01,77
2020-07-01,75
2020-08-01,73
2020-09-01,87
2020-10-01,86
2020-11-01,83
2020-12-01,79
2021-01-01,77
2021-02-01,81
2021-03-01,90
2021-04-01,84
2021-05-01,83
2021-06-01,79
2021-07-01,70
2021-08-01,71
2021-09-01,82
2021-10-01,85
2021-11-01,83
2021-12-01,75
2022-01-01,81
2022-02-01,93
2022-03-01,100
2022-04-01,91
2022-05-01,93
2022-06-01,83
2022-07-01,75
2022-08-01,76
2022-09-01,86
2022-10-01,86
2022-11-01,88
2022-12-01,82
2023-01-01,84
2023-02-01,95
2023-03-01,95
2023-04-01,87
2023-05-01,83
2023-06-01,79
2023-07-01,73
2023-08-01,72
2023-09-01,82
2023-10-01,86
2023-11-01,86
2023-12-01,80
2024-01-01,83
2024-02-01,90
2024-03-01,90
2024-04-01,90
2024-05-01,84
2024-06-01,76
2024-07-01,73
2024-08-01,76
2024-09-01,87
2024-10-01,89
2024-11-01,88
2024-12-01,86
