,date,Depression,Stress,Schlafprobleme
0,2019-01-01,94,77,96
1,2019-02-01,100,82,68
2,2019-03-01,98,85,65
3,2019-04-01,96,80,64
4,2019-05-01,89,82,54
5,2019-06-01,81,73,61
6,2019-07-01,82,74,61
7,2019-08-01,78,76,71
8,2019-09-01,89,83,62
9,2019-10-01,93,87,71
10,2019-11-01,94,84,73
11,2019-12-01,86,75,65
12,2020-01-01,89,76,91
13,2020-02-01,96,80,63
14,2020-03-01,90,79,51
15,2020-04-01,99,81,66
16,2020-05-01,87,76,66
17,2020-06-01,92,77,68
18,2020-07-01,82,75,66
19,2020-08-01,81,73,64
20,2020-09-01,89,87,58
21,2020-10-01,83,86,70
22,2020-11-01,81,83,66
23,2020-12-01,77,79,70
24,2021-01-01,79,77,92
25,2021-02-01,84,81,80
26,2021-03-01,84,90,61
27,2021-04-01,79,84,77
28,2021-05-01,80,83,71
29,2021-06-01,72,79,61
30,2021-07-01,71,70,69
31,2021-08-01,69,71,73
32,2021-09-01,77,82,73
33,2021-10-01,76,85,73
34,2021-11-01,78,83,76
35,2021-12-01,72,75,71
36,2022-01-01,78,81,100
37,2022-02-01,86,93,67
38,2022-03-01,91,100,61
39,2022-04-01,93,91,65
40,2022-05-01,88,93,60
41,2022-06-01,76,83,61
42,2022-07-01,72,75,61
43,2022-08-01,70,76,72
44,2022-09-01,75,86,62
45,2022-10-01,78,86,69
46,2022-11-01,79,88,65
47,2022-12-01,77,82,62
48,2023-01-01,83,84,92
49,2023-02-01,90,95,72
50,2023-03-01,85,95,68
51,2023-04-01,76,87,61
52,2023-05-01,74,83,59
53,2023-06-01,67,79,54
54,2023-07-01,64,73,60
55,2023-08-01,64,72,72
56,2023-09-01,70,82,71
57,2023-10-01,72,86,68
58,2023-11-01,74,86,70
59,2023-12-01,68,80,71
60,2024-01-01,71,83,100
61,2024-02-01,78,90,83
62,2024-03-01,75,90,68
63,2024-04-01,78,90,75
64,2024-05-01,76,84,57
65,2024-06-01,61,76,65
66,2024-07-01,60,73,68
67,2024-08-01,64,76,72
68,2024-09-01,69,87,71
69,2024-10-01,72,89,80
70,2024-11-01,71,88,77
71,2024-12-01,66,86,72
